message
Kick ass and take names. Get it done.
Stay focused. You got this.
"Try for high quality reps, every time. Let's get all of this one."
"Oh, is that all? Light work."
Go 100%.  You think Federer half-asses things?
"Do you want it, or do you just kind of want it?"
